年別,百萬車公里_MVK,發生_件,死亡_人,受傷_人
81年,"12,236.30",256,223,343
82年,"12,685.00",224,187,322
83年,"13,730.90",278,184,365
84年,"14,450.00",261,192,338
85年,"14,829.90",275,183,379
86年,"15,343.80",226,189,302
87年,"15,703.40",237,160,369
88年,"16,371.70",170,126,211
89年,"19,973.40",107,128,94
90年,"21,571.70",90,112,84
91年,"22,670.80",58,71,68
92年,"23,872.70",89,107,80
93年,"25,678.60",107,124,133
94年,"26,050.90",117,129,154
95年,"26,235.30",111,135,114
96年,"25,950.00",101,112,86
97年,"24,649.90",88,98,104
98年,"26,488.00",64,82,102
99年,"27,422.50",67,74,75
100年,"28,526.20",62,72,47
101年,"28,745.40",57,67,102
102年,"29,468.30",65,70,70
103年,"30,733.00",59,72,83
104年,"31,760.70",77,89,89
105年,"33,231.20",67,70,80
106年,"33,806.10",70,120,95
107年,"33,660.40",63,73,54
108年,"33,653.10",73,80,128
109年,"34,123.90",46,52,63
